"名字";"国家";"联赛";"声望";"平均年龄";"收支结余";"转会预算";"转会余额";"工资预算";"状态";"TF";"YF";"JC";"球场容量";"平均上座";"评分";"潜力评分";"Unique ID"
"Mj?llby AIF";"Sweden";"Premier Division";"4,769";"24.7";"2,193,760";"1,574,120";"1,574,120";"46,760";"职业";"13";"12";"12";"7,500";"4,319";"67.8%";"72.5%";"1,817"
"Miyazaki";"Japan";"J3 League";"3,177";"23.9";"2,753,880";"2,198,780";"2,198,780";"13,060";"职业";"5";"5";"6";"5,360";"1,684";"55.2%";"60.9%";"792,316"
"Mixto (MT)";"Brazil";"Lower Division";"1,294";"31.5";"0";"0";"0";"0";"职业";"6";"6";"7";"4,500";"1,300";"10.1%";"10.6%";"309,644"
"Mixco";"Guatemala";"Liga Nacional";"2,750";"26.0";"0";"0";"0";"0";"职业";"7";"11";"11";"12,000";"250";"11.2%";"11.9%";"87,000,912"
"Mitre (SdE)";"Argentina";"Second Division";"5,064";"26.9";"-113,640";"390,520";"389,050";"13,020";"职业";"8";"6";"7";"15,000";"7,402";"67.4%";"70.0%";"14,037,231"
"Mitra Kukar";"Indonesia";"League Two";"2,400";"0.0";"234,600";"0";"0";"0";"职业";"4";"3";"9";"35,000";"2,384";"0.0%";"0.0%";"5,622,873"
"MITOS";"Russia";"Jupiler Pro League";"1,950";"0.0";"0";"0";"0";"0";"职业";"3";"3";"3";"2,500";"220";"0.0%";"0.0%";"58,046,582"
"Mito";"Japan";"J2 League";"4,022";"26.0";"6,657,760";"4,652,480";"4,652,480";"51,380";"职业";"10";"10";"9";"12,000";"3,478";"63.6%";"67.1%";"107,289"
"Misto (MS)";"Brazil";"Lower Division";"500";"0.0";"0";"0";"0";"0";"职业";"3";"3";"3";"6,200";"600";"0.0%";"0.0%";"309,646"
"Mirassol";"Brazil";"Brasileiro Série B";"5,202";"27.0";"2,227,200";"505,300";"506,490";"52,460";"职业";"13";"12";"12";"15,000";"1,182";"70.6%";"73.2%";"301,344"
"Miranorte EC";"Brazil";"Lower Division";"500";"0.0";"0";"0";"0";"0";"职业";"3";"2";"3";"4,000";"600";"0.0%";"0.0%";"316,775"
"Mirandés B";"Spain";"Spanish Federation 3 Gr 4";"3,050";"23.0";"0";"0";"0";"0";"职业";"3";"2";"1";"5,759";"250";"5.6%";"6.7%";"67,203,919"
"Mirandés";"Spain";"Spanish Federation 1A";"5,128";"29.2";"3,666,170";"348,040";"273,120";"65,410";"职业";"10";"5";"-1";"5,759";"3,232";"66.5%";"70.3%";"4,212,197"
"Miramar Misiones";"Uruguay";"Second Professional";"3,250";"25.0";"120";"0";"0";"0";"职业";"5";"8";"10";"3,206";"402";"6.2%";"6.6%";"5,512,559"
"Miramar (PB)";"Brazil";"Lower Division";"450";"0.0";"0";"0";"0";"0";"职业";"3";"2";"3";"3,500";"700";"0.0%";"0.0%";"314,965"
"Minsk";"Belarus";"Highest League";"4,000";"35.0";"638,850";"0";"0";"0";"职业";"10";"12";"14";"3,000";"572";"5.1%";"5.1%";"17,000,059"
"Minnesota Stars";"U.S.A.";"Jupiler Pro League";"3,250";"0.0";"0";"0";"0";"0";"职业";"12";"7";"5";"0";"3,100";"0.0%";"0.0%";"72,021,010"
"Minnesota (NASL)";"U.S.A.";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"17";"13";"10";"0";"32,775";"0.0%";"0.0%";"72,024,004"
"Minnesota";"U.S.A.";"MLS";"6,221";"25.9";"33,443,520";"7,149,090";"7,599,440";"186,720";"职业";"17";"15";"11";"19,600";"19,585";"71.3%";"74.4%";"20,030,048"
"Mineros Querétaro";"Mexico";"Third Division Group X";"1,650";"0.0";"0";"0";"0";"0";"职业";"6";"6";"5";"0";"250";"0.0%";"0.0%";"2,000,160,119"
"Mineros de Guayana B";"Venezuela";"Jupiler Pro League";"2,300";"0.0";"0";"0";"0";"0";"职业";"3";"2";"2";"41,600";"250";"0.0%";"0.0%";"86,029,610"
"Mineros de Guayana";"Venezuela";"Second Division";"4,100";"17.9";"946,240";"0";"0";"0";"职业";"12";"11";"14";"41,600";"700";"53.7%";"68.0%";"109,192"
"Mineros CDMX";"Mexico";"Third Division Group V";"1,750";"0.0";"0";"0";"0";"0";"职业";"7";"7";"6";"0";"250";"0.0%";"0.0%";"2,000,043,045"
"Mineros B";"Mexico";"Jupiler Pro League";"1,100";"0.0";"0";"0";"0";"0";"职业";"9";"8";"11";"20,398";"100";"0.0%";"0.0%";"51,047,439"
"Mineros";"Mexico";"Expansion League";"4,637";"24.0";"934,250";"517,250";"528,350";"23,140";"职业";"10";"10";"10";"20,398";"2,723";"63.8%";"71.0%";"51,045,865"
"Mineiros";"Brazil";"Lower Division";"850";"0.0";"0";"0";"0";"0";"职业";"8";"6";"6";"7,000";"900";"0.0%";"0.0%";"2,111,642"
"Minaur Baia Mare";"Romania";"Liga III Seria 10";"4,000";"20.0";"1,378,480";"0";"0";"0";"职业";"8";"5";"5";"15,554";"2,314";"5.3%";"5.4%";"57,175,414"
"Minas Boca";"Brazil";"Lower Division";"350";"0.0";"0";"0";"0";"0";"职业";"7";"5";"6";"18,870";"200";"0.0%";"0.0%";"19,191,548"
"Minaj";"Ukraine";"First League";"3,735";"22.5";"-62,040";"53,500";"63,000";"13,080";"职业";"7";"7";"7";"12,000";"2,622";"61.0%";"66.3%";"71,098,591"
"Milwaukee Wave";"U.S.A.";"USASA";"3,495";"22.3";"0";"0";"0";"0";"职业";"13";"3";"3";"5,000";"2,300";"59.3%";"67.4%";"2,306"
"Milsami Orhei";"Moldova";"Divizia Na?ional?";"4,296";"29.0";"3,052,510";"0";"0";"0";"职业";"7";"4";"7";"3,023";"650";"17.6%";"18.3%";"59,007,641"
"Milo FC (GUI)";"Guinea";"Premier Division";"2,750";"16.0";"39,060";"0";"0";"0";"职业";"4";"4";"4";"2,000";"250";"8.3%";"8.8%";"5,390,090"
"Millwall";"England";"Sky Bet League One";"5,268";"24.7";"44,027,860";"14,789,850";"36,946,570";"186,480";"职业";"16";"16";"12";"20,146";"13,023";"71.1%";"75.1%";"686"
"Millonarios F.C.";"Colombia";"First Division";"6,246";"27.5";"3,246,270";"0";"0";"0";"职业";"12";"11";"12";"36,343";"23,071";"66.7%";"68.9%";"426"
"Military Production";"Egypt";"Second Division - Group 2";"3,250";"0.0";"174,310";"0";"0";"0";"职业";"10";"10";"5";"30,000";"1,000";"0.0%";"0.0%";"12,033,282"
"Milford FC";"South Africa";"National First Division";"3,500";"0.0";"0";"0";"0";"0";"职业";"5";"5";"4";"5,000";"250";"0.0%";"0.0%";"65,034,030"
"Mikashevichi";"Belarus";"Second League";"2,000";"0.0";"0";"0";"0";"0";"职业";"6";"6";"2";"500";"121";"0.0%";"0.0%";"485,663"
"Miguelense";"Brazil";"Lower Division";"600";"0.0";"0";"0";"0";"0";"职业";"2";"2";"2";"5,000";"600";"0.0%";"0.0%";"301,103"
"Miguel Couto";"Brazil";"Jupiler Pro League";"300";"0.0";"0";"0";"0";"0";"职业";"2";"2";"5";"4,000";"366";"0.0%";"0.0%";"19,008,390"
"Mighty Wanderers";"Malawi";"Premier Division";"2,400";"16.0";"0";"0";"0";"0";"职业";"6";"5";"5";"3,000";"250";"3.8%";"4.9%";"5,340,920"
"Mighty Tigers";"Malawi";"Premier Division";"2,100";"0.0";"0";"0";"0";"0";"职业";"5";"4";"5";"10,000";"1,000";"0.0%";"0.0%";"5,340,927"
"Mied?";"Poland";"PKO BP Ekstraklasa";"4,500";"28.2";"102,230";"0";"0";"0";"职业";"8";"9";"9";"6,194";"3,500";"30.9%";"31.9%";"710,017"
"Midland";"Argentina";"Fourth Division AFA";"3,828";"27.2";"126,320";"0";"0";"0";"职业";"7";"6";"5";"4,000";"1,550";"54.7%";"56.3%";"952,710"
"Middlesbrough";"England";"Sky Bet Championship";"5,876";"25.4";"46,548,130";"22,787,810";"29,936,970";"583,920";"职业";"18";"17";"15";"34,746";"25,872";"74.5%";"78.0%";"685"
"Mictlán";"Guatemala";"Primera División";"2,900";"24.0";"0";"0";"0";"0";"职业";"8";"9";"12";"3,000";"250";"5.6%";"5.8%";"87,000,492"
"Michigan Stars";"U.S.A.";"NISA";"2,500";"26.7";"0";"0";"0";"0";"职业";"5";"2";"2";"5,000";"500";"16.5%";"18.4%";"20,049,737"
"Michalovce";"Slovakia";"First Division";"4,250";"24.0";"353,000";"0";"0";"0";"职业";"12";"10";"14";"4,440";"1,500";"6.5%";"7.0%";"7,563,783"
"Mianyang";"China";"Jupiler Pro League";"1,000";"0.0";"0";"0";"0";"0";"职业";"4";"1";"1";"25,000";"7,100";"0.0%";"0.0%";"131,183"
"Miami Fusion";"U.S.A.";"Jupiler Pro League";"5,000";"0.0";"0";"0";"0";"0";"职业";"8";"5";"5";"0";"250";"0.0%";"0.0%";"108,891"
"Miami FC";"U.S.A.";"USSL-C Eastern Conference";"4,228";"27.8";"189,450";"0";"0";"0";"职业";"8";"6";"8";"22,682";"1,375";"66.2%";"69.2%";"20,040,608"
"Miami (NASL)";"U.S.A.";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"9";"6";"4";"0";"7,340";"0.0%";"0.0%";"72,024,007"
"MHDN FC";"India";"National Football League";"2,950";"28.8";"819,770";"0";"0";"0";"职业";"4";"3";"3";"25,000";"3,785";"24.3%";"25.4%";"5,512,183"
"MH Oranje FC";"India";"Second Division";"1,500";"0.0";"0";"0";"0";"0";"职业";"4";"3";"3";"500";"250";"0.0%";"0.0%";"2,000,191,733"
"MFM F.C.";"Nigeria";"Jupiler Pro League";"4,300";"0.0";"0";"0";"0";"0";"职业";"7";"7";"8";"0";"1,000";"0.0%";"0.0%";"13,200,638"
"MFC Zhytomyr";"Ukraine";"Jupiler Pro League";"400";"0.0";"0";"0";"0";"0";"职业";"3";"3";"3";"0";"250";"0.0%";"0.0%";"5,326,487"
"MFC Metalurh-2 Zp";"Ukraine";"Second League";"1,250";"16.5";"0";"0";"0";"0";"职业";"3";"4";"4";"208";"100";"49.0%";"59.2%";"2,000,032,132"
"Mez?k?vesd";"Hungary";"Division II";"5,000";"31.2";"2,550";"0";"0";"0";"职业";"7";"4";"4";"4,183";"1,750";"24.8%";"25.3%";"38,004,842"
"Mexiquense";"Mexico";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"14";"13";"13";"0";"250";"0.0%";"0.0%";"136,009"
"Mexicali";"Mexico";"Premier League Serie B";"3,000";"23.4";"0";"0";"0";"0";"职业";"5";"6";"4";"5,000";"250";"56.6%";"62.6%";"2,000,193,772"
"Metta";"Latvia";"Optibet Virsliga";"2,100";"23.0";"317,160";"0";"0";"0";"职业";"7";"7";"10";"1,000";"295";"5.6%";"6.0%";"8,403,700"
"MetroStars [MLS]";"U.S.A.";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"14";"11";"8";"66,500";"17,195";"0.0%";"0.0%";"1,908"
"Metropolitanos";"Venezuela";"Premier Division";"4,209";"32.0";"5,152,760";"0";"0";"0";"职业";"9";"9";"11";"20,900";"500";"6.7%";"6.8%";"5,300,232"
"Metropolitano (SC)";"Brazil";"Lower Division";"2,450";"25.0";"857,830";"82,930";"82,930";"6,920";"职业";"6";"4";"7";"6,000";"2,100";"42.0%";"46.5%";"319,164"
"Metalurh Zp";"Ukraine";"First League";"2,958";"22.0";"1,220,870";"144,760";"145,140";"4,160";"职业";"10";"10";"9";"11,883";"2,100";"58.3%";"64.9%";"71,100,478"
"Metalurgistul Cugir";"Romania";"Liga III Seria 9";"3,000";"0.0";"0";"0";"0";"0";"职业";"1";"5";"4";"1,200";"150";"0.0%";"0.0%";"2,000,117,813"
"Metalul Buz?u";"Romania";"Liga III Seria 2";"3,150";"0.0";"0";"0";"0";"0";"职业";"4";"5";"4";"1,573";"300";"0.0%";"0.0%";"57,050,239"
"Metaloglobus Bucure?ti";"Romania";"Second League";"4,000";"0.0";"1,406,410";"0";"0";"0";"职业";"9";"7";"7";"4,500";"264";"0.0%";"0.0%";"57,061,123"
"Metallurg Novokuznetsk";"Russia";"Jupiler Pro League";"2,300";"0.0";"0";"0";"0";"0";"职业";"3";"2";"4";"0";"250";"0.0%";"0.0%";"130,559"
"Metallurg Lipetsk";"Russia";"Second Division A Silver";"3,300";"26.3";"0";"0";"0";"0";"职业";"9";"9";"6";"14,578";"1,478";"60.3%";"63.7%";"130,507"
"Metallurg Krasnoyarsk";"Russia";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"8";"4";"1";"0";"250";"0.0%";"0.0%";"130,506"
"Metallurg Cherepovets";"U.S.S.R.";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"2";"1";"1";"0";"250";"0.0%";"0.0%";"58,062,551"
"Metallurg Bekobod";"Uzbekistan";"Superleague";"4,200";"25.4";"0";"0";"0";"0";"职业";"8";"8";"8";"16,000";"4,623";"62.3%";"66.4%";"485,459"
"Metalist 1925";"Ukraine";"Premier League";"4,303";"25.4";"2,033,030";"339,510";"121,100";"38,030";"职业";"11";"9";"7";"4,700";"6,141";"68.5%";"71.9%";"71,099,430"
"Metalist";"Ukraine";"First League";"3,433";"21.2";"846,550";"166,220";"1,200,490";"8,440";"职业";"12";"12";"10";"12,000";"3,225";"60.9%";"67.5%";"130,868"
"Messina";"Italy";"Serie C/C";"4,350";"26.8";"5,860";"0";"0";"0";"职业";"8";"7";"7";"38,722";"2,200";"65.5%";"69.0%";"700,206"
"Mesquita";"Brazil";"Lower Division";"400";"0.0";"0";"0";"0";"0";"职业";"3";"2";"3";"6,000";"700";"0.0%";"0.0%";"311,105"
"Mes Soungoun";"Iran";"Azadegan League";"1,850";"0.0";"121,460";"0";"0";"0";"职业";"2";"1";"1";"2,000";"250";"0.0%";"0.0%";"23,131,131"
"Mes Rafsanjan";"Iran";"Premier League";"4,750";"29.4";"1,344,870";"0";"0";"0";"职业";"13";"8";"8";"0";"700";"66.1%";"69.3%";"23,021,294"
"Mes Kerman";"Iran";"Azadegan League";"3,633";"26.0";"1,804,120";"0";"0";"0";"职业";"10";"8";"8";"15,000";"5,941";"16.9%";"17.5%";"144,839"
"Merw";"Turkmenistan";"Higher League";"3,400";"32.0";"20,010";"0";"0";"0";"职业";"3";"3";"3";"10,000";"1,600";"5.6%";"5.6%";"484,465"
"Mérida FC";"Mexico";"Jupiler Pro League";"1,250";"0.0";"0";"0";"0";"0";"职业";"6";"6";"3";"0";"250";"0.0%";"0.0%";"5,666,371"
"Mérida";"Spain";"Spanish Federation 2 Gr 5";"4,100";"25.8";"0";"0";"0";"0";"职业";"10";"8";"9";"14,680";"3,000";"63.8%";"68.2%";"4,212,284"
"Merani Mt.";"Georgia";"Liga 3";"3,750";"22.8";"0";"0";"0";"0";"职业";"4";"4";"11";"2,000";"700";"42.0%";"46.2%";"59,020,465"
"Mensajero";"Spain";"Spanish Federation 2 Gr 5";"3,896";"23.8";"0";"0";"0";"0";"职业";"9";"9";"11";"4,100";"815";"61.6%";"66.8%";"1,697"
"Menemen FK";"Türkiye";"2. League White Group";"4,700";"25.5";"2,364,740";"1,408,490";"1,434,800";"11,440";"职业";"5";"7";"6";"5,000";"2,000";"65.1%";"69.3%";"70,028,001"
"Memphis";"U.S.A.";"USSL-C Eastern Conference";"4,000";"23.8";"0";"0";"0";"0";"职业";"10";"4";"4";"12,000";"3,425";"62.5%";"67.8%";"20,046,412"
"Meliorator";"Belarus";"Second League";"2,000";"0.0";"0";"0";"0";"0";"职业";"8";"8";"2";"1,100";"150";"0.0%";"0.0%";"2,000,015,951"
"Melilla";"Spain";"Spanish Federation 1B";"4,399";"26.9";"0";"0";"0";"0";"职业";"8";"8";"9";"6,200";"1,450";"64.5%";"69.6%";"109,027"
"Melgar";"Peru";"First Division";"6,036";"31.2";"3,546,270";"0";"0";"0";"职业";"8";"12";"9";"50,000";"20,000";"26.8%";"27.3%";"303,815"
"Melbourne Victory";"Australia";"A-League";"5,500";"28.0";"573,420";"0";"0";"0";"职业";"14";"12";"11";"30,050";"20,600";"67.4%";"69.7%";"1,300,489"
"Melbourne City FC";"Australia";"A-League";"5,500";"28.1";"3,639,870";"0";"0";"0";"职业";"18";"18";"14";"30,050";"8,150";"66.6%";"70.8%";"15,051,934"
"Meizhou";"China";"Super League";"3,356";"28.8";"3,257,880";"880,430";"880,340";"74,540";"职业";"6";"4";"5";"32,000";"11,821";"62.9%";"65.9%";"23,199,255"
"Medeama SC";"Ghana";"Premier Division";"4,700";"30.4";"132,460";"0";"0";"0";"职业";"10";"8";"8";"4,000";"2,000";"40.0%";"41.4%";"13,111,492"
"Medan Jaya";"Indonesia";"League Four";"1,100";"0.0";"13,990";"0";"0";"0";"职业";"1";"1";"2";"20,000";"250";"0.0%";"0.0%";"135,526"
"Mechelen";"Belgium";"Jupiler Pro League";"5,869";"26.5";"-6,062,770";"693,340";"699,670";"107,490";"职业";"14";"13";"15";"16,672";"12,298";"70.4%";"73.0%";"232"
"Mechal";"Ethiopia";"Premier Division";"3,100";"0.0";"5,540";"0";"0";"0";"职业";"7";"6";"5";"35,000";"700";"0.0%";"0.0%";"13,100,516"
"MEAP";"Cyprus";"Second Division";"3,700";"0.0";"54,410";"0";"0";"0";"职业";"3";"3";"3";"750";"100";"0.0%";"0.0%";"694,451"
"MCL";"Brazil";"Lower Division";"2,633";"30.7";"197,460";"0";"0";"0";"职业";"7";"7";"7";"40,149";"2,572";"39.9%";"41.8%";"301,172"
"MC Oujda";"Morocco";"Botola 1";"4,000";"0.0";"41,400";"0";"0";"0";"职业";"7";"4";"7";"20,000";"250";"0.0%";"0.0%";"8,626,287"
"MC Oran";"Algeria";"League 1";"4,250";"25.5";"42,950";"0";"0";"0";"职业";"9";"8";"7";"35,000";"20,000";"23.7%";"25.1%";"529,013"
"MC Alger";"Algeria";"League 1";"4,750";"20.0";"114,820";"0";"0";"0";"职业";"11";"9";"8";"66,000";"30,000";"11.7%";"12.8%";"5,340,073"
"Mbour Petite C?te";"Senegal";"Senegalese National 1 - A";"3,023";"24.0";"48,930";"0";"0";"0";"职业";"5";"3";"5";"5,000";"2,200";"15.2%";"16.9%";"13,158,638"
"Mbabane Swallows";"Eswatini";"Premier League";"2,500";"28.0";"31,090";"0";"0";"0";"职业";"5";"5";"5";"20,000";"250";"9.5%";"10.9%";"5,341,535"
"Mbabane Highlanders";"Eswatini";"Premier League";"2,392";"0.0";"93,750";"0";"0";"0";"职业";"5";"4";"5";"1,000";"250";"0.0%";"0.0%";"5,341,533"
"Mazorqueros";"Mexico";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"5";"5";"6";"2,000";"250";"0.0%";"0.0%";"5,661,080"
"Mazatlán";"Mexico";"Liga MX";"5,862";"27.1";"10,402,020";"8,623,860";"3,070,910";"253,590";"职业";"9";"8";"7";"25,000";"11,774";"72.6%";"75.7%";"2,000,017,276"
"Mazag?o";"Brazil";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"5";"4";"5";"13,680";"900";"0.0%";"0.0%";"309,639"
"Maxline";"Belarus";"First League";"3,500";"0.0";"158,920";"0";"0";"0";"职业";"8";"8";"6";"7,000";"779";"0.0%";"0.0%";"485,667"
"Mauaense";"Brazil";"Lower Division";"700";"0.0";"600";"0";"0";"0";"职业";"4";"3";"5";"8,567";"1,000";"0.0%";"0.0%";"318,901"
"Mauá";"Brazil";"Lower Division";"700";"0.0";"0";"0";"0";"0";"职业";"4";"4";"5";"8,567";"200";"0.0%";"0.0%";"19,354,612"
"Matsunichi GZ";"China";"Jupiler Pro League";"2,150";"0.0";"0";"0";"0";"0";"职业";"4";"2";"2";"22,000";"6,800";"0.0%";"0.0%";"130,810"
"Matsumoto";"Japan";"J3 League";"3,449";"25.8";"9,934,290";"5,561,270";"5,561,270";"50,480";"职业";"8";"7";"9";"20,396";"8,049";"60.0%";"65.5%";"786,400"
"Matonense";"Brazil";"Lower Division";"1,200";"0.0";"1,110";"0";"0";"0";"职业";"7";"3";"3";"15,800";"2,000";"0.0%";"0.0%";"301,342"
"Matlama";"Lesotho";"Premier Division";"2,000";"0.0";"93,750";"0";"0";"0";"职业";"5";"4";"5";"1,000";"250";"0.0%";"0.0%";"5,390,106"
"Mashuk";"Russia";"Second Division B Group 1";"2,800";"22.0";"13,440";"0";"0";"0";"职业";"4";"3";"3";"10,365";"305";"20.1%";"22.1%";"476,286"
"Mash'al";"Uzbekistan";"Pro League";"3,750";"32.0";"13,510";"0";"0";"0";"职业";"6";"5";"5";"10,000";"600";"16.4%";"16.6%";"7,900,348"
"Masfout";"U.A.E.";"First Division";"3,000";"23.0";"236,180";"0";"0";"0";"职业";"4";"2";"2";"3,000";"100";"6.0%";"6.3%";"23,154,119"
"Masatepe";"Nicaragua";"Lower Leagues";"1,250";"0.0";"80,180";"0";"0";"0";"职业";"4";"4";"3";"2,000";"250";"0.0%";"0.0%";"86,000,029"
"Masafi";"U.A.E.";"First Division";"3,500";"33.0";"342,380";"0";"0";"0";"职业";"6";"3";"2";"5,000";"300";"11.2%";"11.5%";"7,880,050"
"Masachapa";"Nicaragua";"Primera Division";"500";"0.0";"146,880";"0";"0";"0";"职业";"4";"5";"5";"3,500";"250";"0.0%";"0.0%";"5,375,196"
"MAS Fès";"Morocco";"Botola 1";"4,100";"22.0";"1,017,920";"0";"0";"0";"职业";"10";"4";"11";"45,000";"25,000";"22.3%";"26.0%";"5,380,013"
"Maryland Bobcats";"U.S.A.";"NISA";"2,500";"27.6";"0";"0";"0";"0";"职业";"5";"5";"5";"4,000";"303";"41.3%";"43.8%";"2,000,010,228"
"Marumo Gallants";"South Africa";"South African Premiership";"4,500";"26.0";"305,380";"0";"0";"0";"职业";"5";"3";"3";"20,000";"1,740";"5.3%";"5.4%";"2,000,034,500"
"Maruinense";"Brazil";"Lower Division";"1,090";"21.1";"207,480";"19,820";"19,820";"1,630";"职业";"4";"2";"2";"5,000";"1,000";"47.6%";"52.4%";"313,321"
"Martin";"Slovakia";"Lower Division";"2,000";"0.0";"0";"0";"0";"0";"职业";"7";"7";"7";"900";"500";"0.0%";"0.0%";"63,023,671"
"Marseille";"France";"Ligue 1";"7,794";"26.0";"126,592,410";"55,958,280";"25,408,820";"1,537,340";"职业";"20";"20";"14";"67,354";"62,929";"81.1%";"83.5%";"866"
"Marquense";"Guatemala";"Primera División";"3,750";"28.4";"0";"0";"0";"0";"职业";"9";"9";"12";"9,380";"1,246";"38.5%";"39.8%";"5,395,180"
"Marosvasarhelyi SE";"Romania";"Liga III Seria 9";"2,150";"0.0";"0";"0";"0";"0";"职业";"1";"5";"4";"1,000";"250";"0.0%";"0.0%";"2,000,056,224"
"Markaz Balata";"Palestine";"West Bank Premier";"2,300";"0.0";"0";"0";"0";"0";"职业";"3";"4";"3";"4,000";"2,000";"0.0%";"0.0%";"23,091,027"
"Mark Stars";"Georgia";"Jupiler Pro League";"1,000";"0.0";"0";"0";"0";"0";"职业";"3";"1";"1";"2,000";"180";"0.0%";"0.0%";"59,073,324"
"Mariupol";"Ukraine";"Jupiler Pro League";"500";"0.0";"40";"0";"0";"0";"职业";"11";"11";"9";"12,680";"1,800";"0.0%";"0.0%";"130,870"
"Mariupol";"Ukraine";"First League";"2,564";"24.9";"-88,240";"260";"570";"7,100";"职业";"5";"3";"2";"1,000";"250";"59.8%";"65.9%";"2,000,190,107"
"Maritzburg Utd";"South Africa";"National First Division";"4,500";"0.0";"298,270";"0";"0";"0";"职业";"7";"8";"6";"12,000";"7,500";"0.0%";"0.0%";"5,682,979"
"Maritsa";"Bulgaria";"Second League";"3,850";"0.0";"0";"0";"0";"0";"职业";"8";"8";"10";"8,000";"350";"0.0%";"0.0%";"1,300,201"
"Marítimo";"Portugal";"Primeira Liga";"5,704";"25.9";"-6,327,140";"939,520";"943,340";"69,190";"职业";"14";"12";"12";"10,600";"11,353";"70.5%";"74.7%";"1,476"
"Mariscal Nieto";"Peru";"Copa Peru";"600";"0.0";"19,240";"0";"0";"0";"职业";"1";"1";"1";"0";"250";"0.0%";"0.0%";"5,290,599"
"Marinos";"Japan";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"1";"1";"1";"0";"250";"0.0%";"0.0%";"1,200"
"Marino";"Spain";"Spanish Federation 3 Gr 2";"3,900";"27.8";"0";"0";"0";"0";"职业";"8";"8";"9";"3,500";"700";"63.7%";"68.4%";"4,212,313"
"Marinhense";"Portugal";"Leiria Honor Division";"3,750";"24.6";"0";"0";"0";"0";"职业";"13";"11";"10";"6,000";"800";"59.6%";"63.2%";"2,466"
"Maringá";"Brazil";"Fourth Division";"3,261";"27.8";"1,863,730";"0";"0";"0";"职业";"3";"3";"4";"16,226";"3,040";"65.3%";"68.8%";"19,145,268"
"Marina III";"Mexico";"Third Division Group V";"1,950";"22.0";"0";"0";"0";"0";"职业";"5";"5";"6";"300";"150";"10.2%";"11.6%";"51,042,090"
"Marina";"Mexico";"Serie A Group I";"2,700";"25.0";"0";"0";"0";"0";"职业";"6";"8";"8";"1,200";"250";"5.4%";"5.8%";"51,071,410"
"Marília";"Brazil";"Lower Division";"1,500";"31.0";"72,900";"0";"0";"0";"职业";"10";"8";"6";"15,010";"500";"16.5%";"17.2%";"311,026"
"Maricá";"Brazil";"Lower Division";"1,500";"0.0";"4,830";"0";"0";"0";"职业";"6";"7";"5";"2,000";"200";"0.0%";"0.0%";"19,344,101"
"Maribor";"Slovenia";"First League";"5,478";"25.2";"11,540,810";"0";"0";"0";"职业";"14";"15";"14";"12,435";"3,500";"25.1%";"26.2%";"1,629"
"Marek";"Bulgaria";"Second League";"3,850";"0.0";"0";"0";"0";"0";"职业";"7";"7";"9";"16,050";"400";"0.0%";"0.0%";"138,447"
"Mardin 1969";"Türkiye";"3. League Group 1";"2,700";"29.5";"35,440";"0";"0";"0";"职业";"5";"1";"2";"5,660";"250";"11.5%";"11.8%";"70,108,691"
"Marco 09";"Portugal";"PT Championship B";"3,500";"24.9";"180";"0";"0";"0";"职业";"12";"10";"10";"10,000";"600";"60.0%";"63.0%";"2,407"
"Marcílio Dias";"Brazil";"Lower Division";"2,458";"29.4";"8,320";"0";"0";"0";"职业";"8";"6";"7";"10,000";"1,000";"51.8%";"54.2%";"301,316"
"Marbella";"Spain";"Spanish Federation 1B";"4,196";"27.4";"-570";"0";"0";"0";"职业";"16";"16";"11";"1,000";"1,100";"66.3%";"71.7%";"1,684"
"Marathón";"Honduras";"Liga Nacional";"4,500";"0.0";"0";"0";"0";"0";"职业";"11";"15";"18";"12,000";"3,572";"0.0%";"0.0%";"308,276"
"Maranh?o";"Brazil";"Fourth Division";"2,150";"24.3";"210,690";"0";"0";"0";"职业";"9";"6";"5";"11,429";"1,200";"48.9%";"51.9%";"301,171"
"Maranguape";"Brazil";"Lower Division";"1,000";"0.0";"0";"0";"0";"0";"职业";"4";"2";"2";"5,000";"1,000";"0.0%";"0.0%";"314,956"
"Maracan?";"Brazil";"Lower Division";"1,268";"17.0";"0";"0";"0";"0";"职业";"3";"3";"4";"3,000";"231";"4.5%";"4.8%";"19,043,091"
"Maracaibo";"Venezuela";"Jupiler Pro League";"2,250";"0.0";"143,900";"0";"0";"0";"职业";"10";"9";"8";"40,800";"250";"0.0%";"0.0%";"5,300,371"
"Maqtaaral";"Kazakhstan";"Kazakhstan Premier League";"4,100";"32.0";"0";"0";"0";"0";"职业";"6";"6";"5";"7,000";"1,000";"5.9%";"6.0%";"59,066,747"
"Manzini Wanderers";"Eswatini";"Premier League";"2,000";"0.0";"0";"0";"0";"0";"职业";"3";"3";"3";"8,000";"250";"0.0%";"0.0%";"5,341,534"
