name,age,nationality,club,league,position,overall,potential,value,wage,height,weight,preferred_foot,pace,shooting,passing,dribbling,defending,physical
Miguel Santos,31,Brazil,Mainz,Bundesliga,ST,71,86,7100000,1000,191,91,Right,67,66,79,85,43,69
Thomas Jones,21,England,Mainz,Bundesliga,ST,62,63,8100299,1000,181,81,Left,59,56,62,68,37,58
Pedro Santos,27,Brazil,Mainz,Bundesliga,ST,58,67,7540000,1000,178,71,Left,56,50,67,58,28,60
Leo Sánchez,26,Spain,Werder Bremen,Bundesliga,GK,72,77,9360000,1000,189,89,Right,58,54,60,58,68,76
Mateo López,27,Spain,Werder Bremen,Bundesliga,GK,57,57,7410000,1000,195,81,Left,44,36,58,38,50,60
Lucas Martin,24,France,Werder Bremen,Bundesliga,CB,70,71,9100000,1000,193,86,Left,72,60,77,58,69,79
Miguel Ferreira,22,Portugal,Werder Bremen,Bundesliga,CB,56,56,7280000,1000,193,80,Right,64,48,51,44,71,57
Adam Dubois,30,France,Werder Bremen,Bundesliga,CB,66,76,7260000,1000,195,94,Left,69,48,73,58,64,66
Milan Smit,21,Netherlands,Werder Bremen,Bundesliga,CB,66,68,8665800,1000,192,91,Right,56,56,74,68,81,74
Bautista García,28,Argentina,Werder Bremen,Bundesliga,LB,57,64,7410000,1000,185,78,Right,63,36,47,53,52,64
Lucas De Vries,31,Netherlands,Werder Bremen,Bundesliga,LB,61,61,6100000,1000,177,75,Right,56,38,63,57,56,66
Noud De Vries,31,Netherlands,Werder Bremen,Bundesliga,RB,64,71,6400000,1000,174,63,Right,74,44,56,67,63,69
Jules Goossens,33,Belgium,Werder Bremen,Bundesliga,RB,57,69,4560000,1000,178,72,Right,66,51,64,51,69,52
Ben Müller,34,Germany,Werder Bremen,Bundesliga,CDM,66,62,4620000,1000,192,84,Right,69,70,69,72,65,81
Jonas Meyer,34,Germany,Werder Bremen,Bundesliga,CDM,72,84,5040000,1000,193,80,Right,64,66,78,76,82,84
Noud De Jong,32,Netherlands,Werder Bremen,Bundesliga,CM,70,67,6300000,1000,181,72,Left,72,69,77,75,66,82
Max Becker,25,Germany,Werder Bremen,Bundesliga,CM,68,65,8840000,1000,172,73,Right,73,65,80,62,77,81
Thiago Gómez,34,Argentina,Werder Bremen,Bundesliga,CM,60,65,4200000,1000,176,78,Right,51,65,72,60,66,55
Juan Fernández,26,Argentina,Werder Bremen,Bundesliga,CAM,57,60,7410000,1000,170,69,Right,64,66,62,66,38,42
Lucas López,29,Spain,Werder Bremen,Bundesliga,CAM,61,66,7320000,1000,181,75,Right,61,67,68,70,53,52
Felix Weber,23,Germany,Werder Bremen,Bundesliga,LM,63,78,8190000,1000,174,69,Right,65,59,75,76,46,58
Juan López,22,Argentina,Werder Bremen,Bundesliga,RM,66,66,8580000,1000,180,82,Left,71,68,66,79,51,63
Louis Jacobs,25,Belgium,Werder Bremen,Bundesliga,LW,72,86,9360000,1000,181,70,Left,83,65,79,79,53,73
Charlie Jones,26,England,Werder Bremen,Bundesliga,RW,66,61,8580000,1000,180,82,Right,70,64,63,61,42,65
Noah Janssens,34,Belgium,Werder Bremen,Bundesliga,CF,59,69,4129999,1000,187,88,Left,55,55,65,64,47,56
Gabriel Bernard,25,France,Werder Bremen,Bundesliga,ST,62,69,8060000,1000,182,70,Right,66,66,55,67,42,58
Leo González,25,Spain,Werder Bremen,Bundesliga,ST,62,70,8060000,1000,185,74,Left,70,66,62,58,32,71
Raphaël Bernard,24,France,Werder Bremen,Bundesliga,ST,58,54,7540000,1000,190,87,Left,67,60,67,69,31,66
Noud De Jong,32,Netherlands,Augsburg,Bundesliga,GK,60,70,5400000,1000,185,79,Right,39,37,61,51,62,55
Felix Wagner,29,Germany,Augsburg,Bundesliga,GK,57,62,6840000,1000,198,97,Right,46,35,51,42,51,62
Davi Rodrigues,29,Brazil,Augsburg,Bundesliga,CB,66,79,7920000,1000,189,86,Right,75,50,61,67,65,70
Noah Janssens,33,Belgium,Augsburg,Bundesliga,CB,69,74,5520000,1000,183,73,Left,60,45,63,63,75,71
Louis Janssens,24,Belgium,Augsburg,Bundesliga,CB,60,75,7800000,1000,184,80,Right,52,41,50,55,65,70
Jack Miller,29,England,Augsburg,Bundesliga,CB,61,59,7320000,1000,187,82,Right,67,52,70,58,68,71
Elias Fischer,27,Germany,Augsburg,Bundesliga,LB,70,85,9100000,1000,184,79,Right,73,49,60,59,76,70
Theo Souza,22,Brazil,Augsburg,Bundesliga,LB,72,73,9406799,1000,175,65,Right,66,53,64,61,73,71
Harry Johnson,21,England,Augsburg,Bundesliga,RB,68,63,8619000,1000,172,66,Right,66,58,63,59,80,77
Miguel Oliveira,33,Brazil,Augsburg,Bundesliga,RB,71,78,5680000,1000,172,73,Left,66,57,76,70,76,74
Theo Pereira,23,Brazil,Augsburg,Bundesliga,CDM,68,67,8840000,1000,192,78,Right,62,72,65,74,72,75
Levi De Vries,27,Netherlands,Augsburg,Bundesliga,CDM,57,69,7410000,1000,185,85,Left,62,47,54,61,53,58
Santiago Ferreira,34,Portugal,Augsburg,Bundesliga,CM,56,61,3919999,1000,175,67,Left,52,54,56,49,59,61
Noah Mertens,24,Belgium,Augsburg,Bundesliga,CM,60,62,7800000,1000,175,72,Right,61,52,73,67,56,65
Sem Bakker,27,Netherlands,Augsburg,Bundesliga,CM,59,69,7670000,1000,184,85,Left,54,56,63,56,49,72
Theo Rodrigues,30,Brazil,Augsburg,Bundesliga,CAM,71,85,7810000,1000,173,65,Right,80,61,71,84,56,70
Lucas García,26,Spain,Augsburg,Bundesliga,CAM,63,77,8190000,1000,184,85,Right,61,59,73,68,47,66
Levi Van den Berg,23,Netherlands,Augsburg,Bundesliga,LM,56,54,7280000,1000,174,72,Right,52,63,57,56,37,42
Arthur Durand,29,France,Augsburg,Bundesliga,RM,72,83,8640000,1000,184,81,Right,73,73,83,78,57,64
James De Jong,32,Netherlands,Augsburg,Bundesliga,LW,57,58,5130000,1000,170,66,Right,59,59,67,54,45,65
Arthur Pereira,21,Brazil,Augsburg,Bundesliga,RW,67,67,8710000,1000,176,65,Left,66,77,75,67,55,68
William Jones,24,England,Augsburg,Bundesliga,CF,71,74,9230000,1000,188,80,Left,85,67,61,84,54,76
Leo Pérez,21,Spain,Augsburg,Bundesliga,ST,59,58,7631650,1000,184,71,Right,58,72,53,57,35,54
Pablo Sánchez,27,Spain,Augsburg,Bundesliga,ST,60,56,7800000,1000,179,68,Left,58,62,62,58,34,55
William Smith,27,England,Augsburg,Bundesliga,ST,60,65,7800000,1000,188,88,Left,61,69,56,56,39,68
Gabriele Colombo,28,Italy,Hoffenheim,Bundesliga,GK,62,74,8060000,1000,185,76,Right,46,35,51,51,57,55
Mateo García,35,Spain,Hoffenheim,Bundesliga,GK,68,83,4080000,1000,189,85,Left,53,42,57,57,70,62
Jack Davis,26,England,Hoffenheim,Bundesliga,CB,68,65,8840000,1000,195,80,Left,76,62,69,57,81,78
William Brown,28,England,Hoffenheim,Bundesliga,CB,59,58,7670000,1000,187,79,Right,60,51,59,61,65,66
Raphaël Thomas,34,France,Hoffenheim,Bundesliga,CB,56,59,3919999,1000,184,74,Left,50,46,47,54,54,62
Adam Goossens,24,Belgium,Hoffenheim,Bundesliga,CB,71,74,9230000,1000,183,74,Right,80,47,75,58,79,79
Arthur Claes,24,Belgium,Hoffenheim,Bundesliga,LB,60,59,7800000,1000,179,69,Right,60,43,55,65,75,55
Mattia Rossi,24,Italy,Hoffenheim,Bundesliga,LB,57,55,7410000,1000,170,69,Right,62,50,67,56,63,65
Léo Richard,28,France,Hoffenheim,Bundesliga,RB,67,73,8710000,1000,179,79,Left,64,50,72,55,66,70
Dinis Silva,22,Portugal,Hoffenheim,Bundesliga,RB,57,69,7854600,1000,171,61,Right,50,33,53,42,65,59
Pablo Sánchez,25,Spain,Hoffenheim,Bundesliga,CDM,58,68,7540000,1000,185,84,Right,49,60,53,64,51,64
Lourenço Ferreira,30,Portugal,Hoffenheim,Bundesliga,CDM,56,54,6160000,1000,188,75,Right,48,47,67,47,59,65
Leo García,28,Spain,Hoffenheim,Bundesliga,CM,63,68,8190000,1000,172,60,Right,64,64,66,68,62,64
Juan Rodríguez,32,Argentina,Hoffenheim,Bundesliga,CM,62,57,5580000,1000,170,71,Left,63,64,73,63,66,70
Bruno García,21,Argentina,Hoffenheim,Bundesliga,CM,62,60,7979400,1000,170,68,Left,58,66,69,57,66,65
Benicio Pérez,34,Argentina,Hoffenheim,Bundesliga,CAM,60,57,4200000,1000,181,69,Right,62,54,70,55,41,46
Adam Petit,27,France,Hoffenheim,Bundesliga,CAM,59,63,7670000,1000,180,67,Left,57,50,68,72,54,58
Mateo García,21,Spain,Hoffenheim,Bundesliga,LM,64,77,8860800,1000,177,66,Right,67,72,59,69,51,51
Gael Silva,25,Brazil,Hoffenheim,Bundesliga,RM,72,68,9360000,1000,179,81,Right,82,82,74,87,54,63
Tomás Santos,26,Portugal,Hoffenheim,Bundesliga,LW,68,82,8840000,1000,179,69,Right,75,61,62,69,53,67
Charlie Wilson,29,England,Hoffenheim,Bundesliga,RW,64,66,7680000,1000,177,69,Right,72,59,60,75,52,73
Léo Durand,33,France,Hoffenheim,Bundesliga,CF,56,53,4480000,1000,189,83,Left,64,67,50,51,32,60
Charlie Williams,21,England,Hoffenheim,Bundesliga,ST,58,66,7841600,1000,178,70,Right,53,68,68,61,31,65
Leo Martínez,30,Spain,Hoffenheim,Bundesliga,ST,72,86,7920000,1000,186,86,Left,70,64,76,67,59,78
Liam Peeters,21,Belgium,Hoffenheim,Bundesliga,ST,68,71,8972600,1000,182,72,Left,66,72,69,79,54,65
Victor Willems,30,Belgium,Stuttgart,Bundesliga,GK,60,72,6600000,1000,190,77,Left,43,31,58,55,60,65
Lucas Fernández,29,Spain,Stuttgart,Bundesliga,GK,62,66,7440000,1000,197,84,Right,39,37,63,57,70,60
Noah Schneider,28,Germany,Stuttgart,Bundesliga,CB,72,85,9360000,1000,193,93,Right,82,48,70,58,85,78
Francesco Bianchi,33,Italy,Stuttgart,Bundesliga,CB,62,75,4960000,1000,189,78,Right,65,38,67,64,77,64
Elias Weber,31,Germany,Stuttgart,Bundesliga,CB,67,72,6700000,1000,194,91,Right,60,56,75,72,74,67
Gabriel Petit,32,France,Stuttgart,Bundesliga,CB,69,83,6210000,1000,189,87,Right,66,52,78,67,64,72
Rodrigo Ferreira,22,Portugal,Stuttgart,Bundesliga,LB,74,69,9379500,1000,174,71,Left,76,53,69,70,87,76
Bruno Gómez,21,Argentina,Stuttgart,Bundesliga,LB,76,89,10522200,1000,177,72,Right,78,68,82,68,90,72
Juan López,27,Argentina,Stuttgart,Bundesliga,RB,75,74,9750000,1000,184,72,Right,65,69,67,62,79,72
Francesco Esposito,26,Italy,Stuttgart,Bundesliga,RB,65,66,8450000,1000,183,72,Left,61,55,68,50,70,65
Leonardo Bianchi,26,Italy,Stuttgart,Bundesliga,CDM,76,74,9880000,1000,189,85,Right,66,66,82,74,75,86
Jonas Schmidt,30,Germany,Stuttgart,Bundesliga,CDM,63,71,6930000,1000,188,75,Left,62,56,58,71,66,70
Pablo Pérez,32,Spain,Stuttgart,Bundesliga,CM,62,73,5580000,1000,174,69,Right,53,64,74,52,64,71
Lucas De Vries,25,Netherlands,Stuttgart,Bundesliga,CM,62,71,8060000,1000,178,78,Right,55,54,67,71,57,69
Bruno Pérez,30,Argentina,Stuttgart,Bundesliga,CM,67,80,7370000,1000,182,82,Right,69,70,71,59,67,72
Liam Willems,33,Belgium,Stuttgart,Bundesliga,CAM,61,59,4880000,1000,173,64,Right,61,52,71,67,48,58
George Johnson,22,England,Stuttgart,Bundesliga,CAM,75,72,9603750,1000,183,70,Left,82,71,83,80,62,73
Paul Weber,26,Germany,Stuttgart,Bundesliga,LM,71,85,9230000,1000,171,70,Right,66,62,66,85,60,60
Lucas Dubois,21,France,Stuttgart,Bundesliga,RM,69,76,9283950,1000,182,76,Right,77,72,79,77,50,64
Bruno Gómez,20,Argentina,Stuttgart,Bundesliga,LW,69,74,8487000,1000,183,80,Right,78,69,76,64,57,73
Jules Thomas,23,France,Stuttgart,Bundesliga,RW,76,90,9880000,1000,170,71,Left,78,91,77,79,58,78
Ben Wagner,26,Germany,Stuttgart,Bundesliga,CF,69,65,8970000,1000,179,78,Right,74,78,78,75,46,60
Thomas Williams,22,England,Stuttgart,Bundesliga,ST,63,63,8190000,1000,180,76,Left,72,66,68,73,42,65
Felix Schmidt,26,Germany,Stuttgart,Bundesliga,ST,60,58,7800000,1000,179,71,Right,58,52,61,71,38,67
James De Jong,20,Netherlands,Stuttgart,Bundesliga,ST,60,58,7128000,1000,185,83,Right,70,67,54,61,32,55
Lucas Goossens,35,Belgium,Bochum,Bundesliga,GK,52,55,3120000,1000,199,88,Right,40,30,42,45,44,46
Lucas García,26,Spain,Bochum,Bundesliga,GK,68,71,8840000,1000,192,92,Right,50,51,64,60,75,59
Martim Ferreira,26,Portugal,Bochum,Bundesliga,CB,60,71,7800000,1000,185,80,Left,53,52,57,61,65,63
Theo Silva,21,Brazil,Bochum,Bundesliga,CB,65,68,8576750,1000,187,84,Right,75,54,65,54,66,62
Lucas Fernández,23,Spain,Bochum,Bundesliga,CB,66,70,8580000,1000,195,95,Right,75,43,70,65,73,67
Mattia Ferrari,28,Italy,Bochum,Bundesliga,CB,57,52,7410000,1000,186,84,Right,52,34,62,53,52,53
Alejandro Fernández,34,Spain,Bochum,Bundesliga,LB,53,56,3709999,1000,180,73,Left,55,47,50,48,65,52
Louis Richard,34,France,Bochum,Bundesliga,LB,59,63,4129999,1000,170,59,Right,69,37,65,46,66,68
Rodrigo Santos,34,Portugal,Bochum,Bundesliga,RB,65,71,4550000,1000,175,70,Right,63,51,63,58,73,61
Levi Jansen,32,Netherlands,Bochum,Bundesliga,RB,54,64,4860000,1000,176,77,Right,61,32,44,59,69,59
Francesco Ferrari,29,Italy,Bochum,Bundesliga,CDM,66,77,7920000,1000,191,84,Right,68,70,79,74,69,79
Lucas De Jong,25,Netherlands,Bochum,Bundesliga,CDM,62,72,8060000,1000,192,81,Right,55,55,71,56,60,69
Leonardo Russo,34,Italy,Bochum,Bundesliga,CM,64,67,4480000,1000,175,70,Left,60,66,79,61,72,73
Finn Fischer,30,Germany,Bochum,Bundesliga,CM,55,54,6050000,1000,173,75,Left,57,45,68,51,50,66
Noah Van Dijk,23,Netherlands,Bochum,Bundesliga,CM,56,54,7280000,1000,171,61,Left,51,48,56,46,46,53
James Van der Meer,27,Netherlands,Bochum,Bundesliga,CAM,64,62,8320000,1000,171,58,Right,74,66,62,59,46,58
Andrea Colombo,33,Italy,Bochum,Bundesliga,CAM,54,58,4320000,1000,171,65,Right,58,54,69,56,36,57
Noah Van der Meer,25,Netherlands,Bochum,Bundesliga,LM,65,77,8450000,1000,174,67,Right,69,68,78,70,48,51
Jack Smith,28,England,Bochum,Bundesliga,RM,64,64,8320000,1000,170,69,Right,69,72,71,73,46,59
James Miller,26,England,Bochum,Bundesliga,LW,64,72,8320000,1000,178,67,Left,59,74,66,70,43,56
Leo López,20,Spain,Bochum,Bundesliga,RW,66,78,8395200,1000,180,70,Right,80,74,64,80,51,57
Noah Jansen,33,Netherlands,Bochum,Bundesliga,CF,58,66,4640000,1000,184,76,Right,70,52,60,70,46,66
Jules Maes,26,Belgium,Bochum,Bundesliga,ST,66,61,8580000,1000,186,79,Right,74,73,73,77,56,74
Pablo Pérez,32,Spain,Bochum,Bundesliga,ST,54,60,4860000,1000,178,76,Right,62,49,55,63,26,62
Dinis Silva,31,Portugal,Bochum,Bundesliga,ST,59,58,5900000,1000,178,67,Left,67,71,60,68,49,65
Adam Claes,23,Belgium,Heidenheim,Bundesliga,GK,61,58,7930000,1000,185,82,Left,38,45,57,51,67,61
Pablo Pérez,30,Spain,Heidenheim,Bundesliga,GK,61,58,6710000,1000,189,90,Right,48,36,48,44,68,55
Léo Petit,23,France,Heidenheim,Bundesliga,CB,65,68,8450000,1000,185,76,Left,74,55,65,66,78,62
Afonso Oliveira,32,Portugal,Heidenheim,Bundesliga,CB,63,66,5670000,1000,185,74,Right,64,47,64,63,59,68
Juan González,34,Argentina,Heidenheim,Bundesliga,CB,56,55,3919999,1000,188,89,Left,64,31,47,43,71,63
Andrea Colombo,25,Italy,Heidenheim,Bundesliga,CB,53,62,6890000,1000,185,77,Left,51,43,48,54,53,58
Gabriel Martin,22,France,Heidenheim,Bundesliga,LB,67,78,9189050,1000,175,67,Right,65,56,64,54,66,75
Alejandro Martínez,21,Spain,Heidenheim,Bundesliga,LB,67,64,8579350,1000,171,69,Right,77,43,59,55,80,73
Oliver Wilson,33,England,Heidenheim,Bundesliga,RB,55,52,4400000,1000,180,72,Right,47,31,56,47,64,51
Adam Jacobs,21,Belgium,Heidenheim,Bundesliga,RB,53,62,7200049,1000,172,72,Right,53,28,43,53,56,50
Sem Jansen,32,Netherlands,Heidenheim,Bundesliga,CDM,61,63,5490000,1000,195,84,Right,65,59,74,68,69,62
Noah Gómez,30,Argentina,Heidenheim,Bundesliga,CDM,60,63,6600000,1000,190,79,Right,52,64,71,54,65,61
Léo Thomas,33,France,Heidenheim,Bundesliga,CM,54,50,4320000,1000,178,75,Left,48,50,66,63,56,56
Paul Becker,25,Germany,Heidenheim,Bundesliga,CM,58,64,7540000,1000,184,78,Right,55,53,57,61,64,54
Bruno Pérez,21,Argentina,Heidenheim,Bundesliga,CM,65,74,8830250,1000,176,70,Right,63,59,77,71,61,77
Raphaël Richard,33,France,Heidenheim,Bundesliga,CAM,59,66,4720000,1000,179,78,Left,55,59,64,55,53,58
Gabriel Petit,26,France,Heidenheim,Bundesliga,CAM,66,80,8580000,1000,180,78,Left,72,68,66,67,51,51
Arthur Willems,33,Belgium,Heidenheim,Bundesliga,LM,62,60,4960000,1000,171,73,Right,66,52,76,60,49,50
Martín Pérez,33,Spain,Heidenheim,Bundesliga,RM,68,75,5440000,1000,173,60,Left,73,67,77,75,49,58
Max Wagner,31,Germany,Heidenheim,Bundesliga,LW,63,65,6300000,1000,180,75,Right,60,74,58,58,35,57
Elias Meyer,32,Germany,Heidenheim,Bundesliga,RW,63,59,5670000,1000,170,63,Right,59,55,63,61,43,59
Felix Weber,28,Germany,Heidenheim,Bundesliga,CF,62,58,8060000,1000,185,80,Left,72,55,66,63,36,66
Arthur Willems,31,Belgium,Heidenheim,Bundesliga,ST,63,78,6300000,1000,178,72,Right,60,54,53,70,42,72
Mattia Rossi,23,Italy,Heidenheim,Bundesliga,ST,55,50,7150000,1000,182,79,Left,51,51,58,51,41,64
Léo Bernard,28,France,Heidenheim,Bundesliga,ST,61,76,7930000,1000,187,76,Left,76,61,70,75,36,68
Davi Souza,28,Brazil,Darmstadt,Bundesliga,GK,58,57,7540000,1000,186,83,Right,35,29,44,51,63,48
Thomas Miller,31,England,Darmstadt,Bundesliga,GK,49,46,4900000,1000,197,96,Right,32,20,41,44,55,47
Finn Fischer,30,Germany,Darmstadt,Bundesliga,CB,57,61,6270000,1000,192,88,Left,47,32,59,57,66,64
Felix Meyer,21,Germany,Darmstadt,Bundesliga,CB,54,54,7020000,1000,193,89,Left,46,44,50,51,59,57
Noah Schneider,25,Germany,Darmstadt,Bundesliga,CB,51,60,6630000,1000,191,84,Left,59,27,61,41,64,50
Lorenzo Bianchi,26,Italy,Darmstadt,Bundesliga,CB,51,48,6630000,1000,183,70,Right,42,46,54,37,57,53
Thomas Jones,24,England,Darmstadt,Bundesliga,LB,48,47,6240000,1000,173,62,Right,50,37,45,37,62,43
Jules Durand,26,France,Darmstadt,Bundesliga,LB,62,67,8060000,1000,175,64,Left,70,55,65,56,62,69
Jack Brown,27,England,Darmstadt,Bundesliga,RB,53,48,6890000,1000,174,75,Right,54,44,48,40,56,62
Afonso Ferreira,21,Portugal,Darmstadt,Bundesliga,RB,62,60,7979400,1000,172,70,Left,59,54,52,52,63,70
Paul Schneider,22,Germany,Darmstadt,Bundesliga,CDM,59,70,8091849,1000,195,83,Right,64,44,65,67,52,67
Martín Sánchez,24,Spain,Darmstadt,Bundesliga,CDM,59,64,7670000,1000,191,78,Right,59,62,68,64,54,57
Mateo González,33,Argentina,Darmstadt,Bundesliga,CM,58,60,4640000,1000,185,77,Left,60,62,57,64,66,68
Jonas Meyer,25,Germany,Darmstadt,Bundesliga,CM,49,47,6370000,1000,174,66,Right,54,39,44,40,44,61
Mattia Ferrari,31,Italy,Darmstadt,Bundesliga,CM,55,54,5500000,1000,174,62,Right,47,48,58,60,53,70
Alessandro Russo,22,Italy,Darmstadt,Bundesliga,CAM,61,67,8167900,1000,176,63,Right,60,71,56,60,42,66
Leonardo Bianchi,32,Italy,Darmstadt,Bundesliga,CAM,52,54,4680000,1000,174,65,Right,61,57,58,51,35,44
Heitor Silva,33,Brazil,Darmstadt,Bundesliga,LM,52,63,4160000,1000,172,72,Right,48,55,55,59,38,37
George Brown,34,England,Darmstadt,Bundesliga,RM,62,71,4340000,1000,184,81,Right,60,71,74,64,46,49
Oliver Johnson,26,England,Darmstadt,Bundesliga,LW,50,60,6500000,1000,179,78,Right,46,45,58,61,26,43
Harry Brown,31,England,Darmstadt,Bundesliga,RW,56,53,5600000,1000,182,80,Left,55,64,48,57,29,59
Afonso Silva,26,Portugal,Darmstadt,Bundesliga,CF,60,72,7800000,1000,192,88,Right,67,64,51,67,37,62
Paul Wagner,25,Germany,Darmstadt,Bundesliga,ST,59,55,7670000,1000,182,77,Right,63,69,50,68,42,61
Mattia Esposito,31,Italy,Darmstadt,Bundesliga,ST,55,68,5500000,1000,184,81,Left,59,65,64,62,30,59
Alessandro Ferrari,26,Italy,Darmstadt,Bundesliga,ST,52,60,6760000,1000,192,80,Left,56,46,50,53,35,46
Davi Rodrigues,33,Brazil,Koln,Bundesliga,GK,56,54,4480000,1000,186,87,Right,34,39,45,43,55,48
Jules Mertens,26,Belgium,Koln,Bundesliga,GK,58,70,7540000,1000,195,87,Left,42,42,48,49,49,59
Levi Van Dijk,24,Netherlands,Koln,Bundesliga,CB,60,61,7800000,1000,183,76,Left,52,46,66,60,67,55
Theo Ferreira,34,Brazil,Koln,Bundesliga,CB,66,73,4620000,1000,194,87,Right,66,55,68,69,69,71
Andrea Esposito,27,Italy,Koln,Bundesliga,CB,63,76,8190000,1000,190,84,Right,65,57,69,60,60,71
Mattia Ferrari,22,Italy,Koln,Bundesliga,CB,57,62,7595249,1000,187,84,Left,64,32,65,52,71,61
Daan Jansen,23,Netherlands,Koln,Bundesliga,LB,64,78,8320000,1000,174,71,Right,72,51,66,58,73,64
Leo García,28,Spain,Koln,Bundesliga,LB,60,59,7800000,1000,177,75,Right,68,38,58,50,67,58
Gabriel Robert,31,France,Koln,Bundesliga,RB,58,60,5800000,1000,175,75,Left,57,43,57,49,54,67
Jules Jacobs,31,Belgium,Koln,Bundesliga,RB,66,68,6600000,1000,173,60,Left,73,61,59,66,77,72
Ben Schmidt,22,Germany,Koln,Bundesliga,CDM,63,75,8681400,1000,190,78,Right,61,58,63,59,64,66
Noah Becker,25,Germany,Koln,Bundesliga,CDM,60,75,7800000,1000,193,93,Left,53,60,61,70,55,75
Thomas Davis,32,England,Koln,Bundesliga,CM,56,58,5040000,1000,184,84,Right,50,59,64,58,56,64
Lorenzo Ricci,21,Italy,Koln,Bundesliga,CM,55,58,7257249,1000,171,59,Right,56,44,64,62,47,50
Davi Silva,21,Brazil,Koln,Bundesliga,CM,52,51,6726200,1000,185,76,Right,46,39,56,47,52,61
Francesco Colombo,21,Italy,Koln,Bundesliga,CAM,61,63,8009300,1000,173,66,Right,58,66,61,57,47,49
Gabriele Romano,26,Italy,Koln,Bundesliga,CAM,56,67,7280000,1000,182,73,Right,51,65,71,56,51,48
Gael Ferreira,30,Brazil,Koln,Bundesliga,LM,63,64,6930000,1000,177,68,Left,62,73,72,65,49,64
Adam Peeters,25,Belgium,Koln,Bundesliga,RM,63,73,8190000,1000,177,75,Left,62,60,71,71,45,64
Miguel Pereira,26,Brazil,Koln,Bundesliga,LW,54,50,7020000,1000,184,71,Right,54,56,63,64,27,60
Finn Wagner,20,Germany,Koln,Bundesliga,RW,55,50,6435000,1000,185,74,Left,62,48,56,70,42,52
Lucas De Vries,34,Netherlands,Koln,Bundesliga,CF,67,82,4690000,1000,184,78,Right,70,81,69,77,43,67
Rodrigo Ferreira,22,Portugal,Koln,Bundesliga,ST,58,59,7577699,1000,189,79,Left,58,70,64,53,48,51
Liam Mertens,22,Belgium,Koln,Bundesliga,ST,63,75,8681400,1000,188,78,Right,78,58,58,69,45,54
Juan Martínez,23,Argentina,Koln,Bundesliga,ST,63,78,8190000,1000,178,77,Left,78,78,68,65,35,73
Hugo López,29,Spain,Inter Milan,Serie A,GK,82,85,9840000,1000,188,81,Left,72,62,74,71,75,82
Max Schmidt,26,Germany,Inter Milan,Serie A,GK,79,79,10270000,1000,197,83,Right,63,61,71,74,80,81
Daniel López,33,Spain,Inter Milan,Serie A,CB,82,78,6560000,1000,188,84,Right,90,59,77,87,79,88
Alejandro López,22,Spain,Inter Milan,Serie A,CB,69,82,9553050,1000,195,90,Right,72,52,59,72,66,76
Louis Willems,28,Belgium,Inter Milan,Serie A,CB,82,88,10660000,1000,195,85,Left,87,57,76,67,85,82
Juan González,22,Argentina,Inter Milan,Serie A,CB,82,80,10553400,1000,185,73,Left,81,59,78,85,84,90
Jules Goossens,29,Belgium,Inter Milan,Serie A,LB,81,88,9720000,1000,171,73,Left,73,61,84,81,91,83
Lucas González,28,Spain,Inter Milan,Serie A,LB,79,74,10270000,1000,184,80,Right,87,70,86,83,89,87
Heitor Souza,31,Brazil,Inter Milan,Serie A,RB,76,77,7600000,1000,173,62,Right,78,61,75,67,71,81
Finn Schmidt,23,Germany,Inter Milan,Serie A,RB,68,68,8840000,1000,173,62,Right,58,54,73,65,71,72
Victor Mertens,28,Belgium,Inter Milan,Serie A,CDM,67,63,8710000,1000,183,73,Right,71,64,71,66,74,75
Dinis Oliveira,30,Portugal,Inter Milan,Serie A,CDM,81,94,8910000,1000,190,85,Left,84,72,88,82,84,77
Jules Martin,21,France,Inter Milan,Serie A,CM,80,82,10504000,1000,181,77,Right,77,80,81,71,88,87
Adam Dubois,28,France,Inter Milan,Serie A,CM,81,78,10530000,1000,173,71,Left,83,73,86,77,72,87
Victor Peeters,23,Belgium,Inter Milan,Serie A,CM,78,84,10140000,1000,173,65,Right,73,77,86,74,81,82
Francesco Romano,30,Italy,Inter Milan,Serie A,CAM,76,87,8360000,1000,180,79,Right,80,79,84,78,65,71
Lucas Thomas,25,France,Inter Milan,Serie A,CAM,75,72,9750000,1000,179,69,Right,77,84,77,78,63,78
Rodrigo Costa,30,Portugal,Inter Milan,Serie A,LM,75,83,8250000,1000,178,65,Right,75,69,77,71,65,76
Juan García,32,Argentina,Inter Milan,Serie A,RM,73,86,6570000,1000,178,68,Left,73,66,68,86,67,62
Oliver Johnson,27,England,Inter Milan,Serie A,LW,68,78,8840000,1000,180,76,Right,74,64,67,83,51,69
Gabriel Oliveira,32,Brazil,Inter Milan,Serie A,RW,71,67,6390000,1000,177,64,Left,75,69,79,79,50,73
Lucas Fernández,30,Spain,Inter Milan,Serie A,CF,68,63,7480000,1000,180,78,Left,67,82,61,69,52,68
Noah Pérez,23,Argentina,Inter Milan,Serie A,ST,77,90,10010000,1000,183,84,Left,89,80,69,90,66,73
Mateo Martínez,28,Spain,Inter Milan,Serie A,ST,76,77,9880000,1000,182,78,Right,83,73,68,73,53,83
Milan De Jong,23,Netherlands,Inter Milan,Serie A,ST,76,76,9880000,1000,181,80,Left,75,67,73,77,55,80
Raphaël Robert,29,France,AC Milan,Serie A,GK,73,88,8760000,1000,188,74,Right,55,57,76,66,79,75
